name,website,email,phone,sectors,address,careers_page,description,region
AI Talos Inc.,https://aitalos.com/,ai@aitalos.com,613-818-6896,"Health & Wellness, Hospital & Healthcare","603 March Rd, Ottawa, Kanata, Ottawa, ON K2K 2M5, Canada",,AI Talos is a dynamic technology firm dedicated to pioneering advancements in artificial intelligence and machine l...,Ottawa · Kanata North (ON)
AI-Spectral Technology Corp.,https://www.deepmsi.com/,info@deepmsi.com,800-561-3502,Artificial Intelligence,"390 March Road suite 124, Kanata, ON K2K 0G7, Canada",,,Ottawa · Kanata North (ON)
Allan Mann Insurance Ltd.,https://www.manninsurance.ca/,info@manninsurance.ca,613-592-6484,Finance & Accounting,"525 March Rd, Kanata, ON K2K 2M5",,"Established in 1978, Allan Mann Insurance Ltd. is a second generation family business offering home, auto, commerci...",Ottawa · Kanata North (ON)
Allmar,https://www.allmar.com/ottawa/,info@allmar.com,613-591-5505,"Construction, Renovation, & Other Home Services","103B Schneider Rd Unit 1, Kanata, ON K2K 1Y3",,"Allmar is Canada’s largest supplier of door and hardware solutions for the commercial, industrial, institutional an...",Ottawa · Kanata North (ON)
Allô mon Coco,https://allomoncoco.com/en/,amckanata52@gmail.com,613-270-8686,Dining,"848 March Road, Kanata, Ottawa, ON K2W 0C9, Canada",,"Allô mon Coco's mission is to share with its guests its taste for the simple and colorful moments of life, around t...",Ottawa · Kanata North (ON)
Alodoc,https://alodoc.ca/,hello@alodoc.ca,613-858-3638,Hospital & Healthcare,,,"Alodoc is a medical clinic built for modern family medicine. Unlike a typical family doctor’s office, we offer: Gu...",Ottawa · Kanata North (ON)
Alphawave Semi,https://awavesemi.com/,info@awavesemi.com,613-663-9890,Semiconductors,"495 March Road, Suite 100, Kanata ON Canada, K2K 3G1",,Alphawave is a team of technology industry veterans and engineers with a nearly 20 year history of building success...,Ottawa · Kanata North (ON)
Ambrotek Printing,https://ambrotekprinting.com/,print@ambrotek.com,888-401-8424,Retail & Hospitality,"1000 Innovation Dr. Suite 500, Kanata, ON, Canada K2K 3E7",,Custom Printing Ottawa - Looking for Ottawa Print Services? We provide a high-quality printing service in Ottawa. G...,Ottawa · Kanata North (ON)
Amces,https://amces.com/,info@amces.com,613-595-1156,Management Consulting,"300 March Rd suite 202, Kanata, ON K2K 2E2, Canada",,"Since its formation in 1996, Association Management Consulting & Evaluation Services (AMCES) has been helping assoc...",Ottawa · Kanata North (ON)
Amdocs,https://www.amdocs.com/,,613-595-5000,"Telecommunications, Wireless & Photonics","303 Terry Fox Dr, Kanata, ON K2K 3J1",,"Our 31,000 employees around the globe are here to accelerate our customers’ migration to the cloud, differentiate i...",Ottawa · Kanata North (ON)
AMS Quantity Surveyors,https://www.amsqs.com/,info@amsqs.com,613-592-2664,"Construction, Renovation, & Other Home Services, Real Estate","300 March Rd suite 430, Kanata, ON K2K 2E2, Canada",,"AMS Quantity Surveyors combines 100+ years of experience to deliver professional Cost Planning, Cost Control and Pr...",Ottawa · Kanata North (ON)
Anata Dental Clinic,https://anatadental.com/,anatadental@bellnet.ca,613-592-6868,Hospital & Healthcare,"1104 Klondike Rd, Kanata, ON K2K 0G1",,We are a dental practice devoted to restoring and enhancing the natural beauty of your smile using state-of-the-art...,Ottawa · Kanata North (ON)
Aprel,https://www.aprel.com/,info@aprel.com,613-435-8300,"Manufacturing, Engineering, Industrial & System Design","303 Terry Fox Dr, Kanata, ON K2K 3J1",,APREL is an independent research-driven engineering company specialized in automated near-field test solutions for ...,Ottawa · Kanata North (ON)
Arbaum Architects Inc.,https://arbaum.com/,info@arbaum.com,613-435-7148,"Construction, Renovation, & Other Home Services","555 Legget Dr, Building A, Suite 306, Kanata, ON K2K 3B8",,"We specialize in architecture that is functional, elegant, and caring. We were founded with the belief that we coul...",Ottawa · Kanata North (ON)
Arcane Four Software,https://arcanefour.com/,info@arcanefour.com,613-509-1479,Software,"411 Legget Dr #410, Ottawa, ON K2K 3C9, Canada",,Arcane Four Software is a full-service software development services company. We use our diverse set of experience ...,Ottawa · Kanata North (ON)
Arrowsmith Piano,https://www.arrowsmithpiano.com/,janearrowsmith17@gmail.com,613-592-4240,Art & Recreation,"300 March Rd Suite 414, Kanata, ON K2K 2E2",,"Hello, I am Jane Arrowsmith, founder of Arrowsmith Piano. I use a customized approach that ensures each lesson is t...",Ottawa · Kanata North (ON)
Artaflex Inc.,https://artaflex.com/,sales@artaflex.com,613-744-3043,"Manufacturing, Engineering, Industrial & System Design","360 Terry Fox Dr, Kanata, ON K2K 2P5",,Artaflex Inc. operates as an integrated electronics contract manufacturer serving original equipment manufacturers....,Ottawa · Kanata North (ON)
Asten Johnson Dryer Fabrics,https://www.astenjohnson.com/,info@AstenJohnson.com,613-592-3269,VARS & Parts Suppliers,"1245 Teron Rd, Kanata, ON K2K 1X2",,"Paper is our first priority. Papermakers deserve a true business partner, a partner who understands every aspect of...",Ottawa · Kanata North (ON)
Astenjohnson Dryer Fabrics,https://www.astenjohnson.com/,info@AstenJohnson.con,613-592-3269,VARS & Parts Suppliers,,,"Astenjohnson is a global manufacturer for the paper industry, supplying paper machine clothing like press fabrics, ...",Ottawa · Kanata North (ON)
AttoTude Canada,https://www.attotude.com/,info@attotude.com,(650) 451-7634,Artificial Intelligence,,,AttoTude is pioneering the future of data communication with our revolutionary THz over wire interconnect technolog...,Ottawa · Kanata North (ON)
Augmentt Technology,https://www.augmentt.com/,info@augmentt.com,888-670-8444,"Defense, Security, & Aerospace","450 March Rd Suite 102, Kanata, ON K2K 3K2",,Augment is one of the newest players in the MSP space. It was created by industry veterans - founders of N-able Tec...,Ottawa · Kanata North (ON)
AusculSciences,https://ausculsciences.com/,info@ausculsciences.com,613-763-0088,Life Sciences,"48 Steacie Dr, Kanata, ON K2K 2A9",,AusculSciences is a medical device and software company that develops bioacoustics to detect cardiovascular disease...,Ottawa · Kanata North (ON)
Avaya Canada,https://www.avaya.com/en/,,800-387-4268,"Data & Cloud Services, Telecommunications, Wireless & Photonics","515 Legget Dr Suite 600, Ottawa, ON, K2K 3G4",,"Businesses are built by the experiences they provide, and every day, millions of those experiences are delivered by...",Ottawa · Kanata North (ON)
Aventum IP Law LLP,https://aventum.law/,OwnWhatsYours@aventum.law,613-232-5300,Legal,"555 Legget Dr, Tower B, Suite 830, Kanata, ON K2K 2X3",,"Located in the hub of high tech development in Ottawa. Formerly known as Shapiro Cohen LLP, we are in the business ...",Ottawa · Kanata North (ON)
Avocet Aerospace Technologies Inc,https://avocetaerospace.com/about-avocet-aerospace-technologies/,,613-592-9200,"Defense, Security, & Aerospace","308 Legget Dr, Kanata, ON K2K 1Y6",,Avocet Aerospace Inc. is a Transport Canada approved spares distributor. Avocet supports both military and civilian...,Ottawa · Kanata North (ON)
B.J. Kane Electric Ltd.,http://www.bjkaneelectric.ca/,bkane@bjkaneelectric.ca,613-823-1019,Electrical & Electrical Manufacturing,"362 Terry Fox Dr #105, Kanata, ON K2K 2P5",,"B.J. Kane Electric Ltd provides superior commercial and industrial electrical services to the Ottawa, Ontario regio...",Ottawa · Kanata North (ON)
B4T Solutions Inc.,https://b4tsolutions.com/,info@b4tsolutions.com,613-271-3711,Software,"1285 Teron Rd #104, Kanata, ON K2K 0J7",,"B4T Solutions Inc. is focused on creating innovative solutions designed for the future. They offer FrontDoor+, an a...",Ottawa · Kanata North (ON)
barBURRITO,https://www.barburrito.ca/,info@barburrito.ca,613-591-1757,Dining,"844 March Rd f001, Kanata, Ottawa, ON K2W 0C9, Canada",,"Offers great quality Tex-Mex food, fresh, fast, and without compromise.",Ottawa · Kanata North (ON)
Barracuda,https://www.barracuda.com/,info@barracuda.com,613-232-1000,Cyber Security,"5050 Innovation Dr 5th floor, Kanata, ON K2K 3K1, Canada",,"Barracuda Networks designs, develops, manufactures, distributes, and sells email and web security appliances. It of...",Ottawa · Kanata North (ON)
BDC,https://www.bdc.ca/en,,613-963-0649,Finance & Accounting,"515 Legget Drive Suite 1010, Ottawa, ON, Canada",,"We are BDC, the bank for Canadian entrepreneurs. Our mission is to support the growth of Canadian businesses throug...",Ottawa · Kanata North (ON)
Bellwood Immigration and Citizenship Services,https://bellwoodimmigration.ca/,legal@bellwoodimmigraton.ca,514-519-0100,Legal,"1000 Innovation Drive 5th floor, Ottawa, ON, Canada",,BICS is a trusted immigration law practice for businesses and individuals in Canada and USA. Employer immigration C...,Ottawa · Kanata North (ON)
Benbria Corporation,https://benbria.com/contact-us/,info@benbria.com,844-864-0003,Information Technology & Services,"390 March Rd Suite 110, Kanata, ON K2K 0G7",,"Benbria is a leader in omni-channel guest messaging and feedback solutions, helping the world's greatest brands del...",Ottawa · Kanata North (ON)
Bench Market,https://benchmarket.ca/,help@benchmarket.ca,343-803-0975,Management Consulting,"500-1000 Innovation Drive, Tower A, Suite 304, Kanata, Ontario, K2K 3E7",,BenchMarket consultants work closely with clients to develop compensation-related HR Programs.,Ottawa · Kanata North (ON)
Bernier and Associates,https://www.bernierassocies.com/,info@bernierassocies.com,877-560-8666,Finance & Accounting,"1000 Innovation Drive, 5th floor Kanata, On K2K 3E7",,"Bernier & Associés relies on a team of chartered professional accountants, licensed insolvency trustees (formerly k...",Ottawa · Kanata North (ON)
Best Life,https://bestlifeaging.ca/,contact@bestlifeaging.ca,613-922-5166,,"1283 Teron Road #102, Kanata, Ontario K2K 0J7, Canada",,"Best Life is dedicated to enriching the lives of seniors through compassionate home care, engaging fitness programs...",Ottawa · Kanata North (ON)
Best Theratronics Ltd.,http://www.theratronics.ca/,info@theratronics.ca,613-591-2100,Life Sciences,"413 March Rd, Kanata, ON K2K 0E4",,Best Medical has served the medical community with the highest quality products and unparalleled customer service. ...,Ottawa · Kanata North (ON)
Big Rig Brewery,https://www.bigrigdelivery.ca/,INFO@BIGRIGBREWERY.COM,613-591-6262,Dining,"103 Schneider Rd, Kanata, ON K2K 1Y3",,"Dedicated to Pure Craftsmanship and using only the Best Quality Ingredients, Big Rig Brewery takes great pride in r...",Ottawa · Kanata North (ON)
BlackBerry,https://www.blackberry.com/,,613-591-0931,Information Technology & Services,"1001 Farrar Rd, Kanata, ON K2K 0B3",,BlackBerry provides wireless devices and solutions for the worldwide mobile communications market. It is widely kno...,Ottawa · Kanata North (ON)
Blackberry QNX,https://www.blackberry.com/us/en,,613-591-0931,Information Technology & Services,"1001 Farrar Rd, Kanata, ON K2K 0B3",,"BlackBerry® QNX® is a trusted supplier of commercial operating systems, hypervisors, development tools, support and...",Ottawa · Kanata North (ON)
Blue Door Psychological Services,https://www.bluedoorpsychology.com/,bluedoorpsychology@gmail.com,613-899-8224,Health & Wellness,"555 Legget Drive Office #202 Tower A, Kanata, ON K2K 3B8",,Blue Door Psychological Services was created with the vision of providing educational and clinical services to the ...,Ottawa · Kanata North (ON)
Bluebird Cannabis Co.,https://bluebirdcannabis.store/,hi@bluebirdcannabis.store,613-592-3222,Health & Wellness,"806 March Rd Unit 2, Kanata, ON K2W 0C9",,Blue Bird Cannabis has 12 locations in Ottawa. This is a family owned and operated store. Our goal is to provide a ...,Ottawa · Kanata North (ON)
BlueWave-ai,https://www.bluwave-ai.com/,info@bluwave-ai.com,,"Clean Tech, Environmental Technology & Services","62 Steacie Drive Suite 102, Kanata, Ontario K2K 2A9, Canada",,"BluWave-ai formed in 2017 around the idea of bringing innovations in artificial Intelligence, edge computing, and c...",Ottawa · Kanata North (ON)
Blushes,https://blushes.ca/,info@blushes.ca,613-254-9943,Retail & Hospitality,"4048 Carling Ave, Kanata, ON K2K 1Y1",,"Blushes believes that individual characteristics come with every client, which is why we are dedicated to producing...",Ottawa · Kanata North (ON)
BMT,https://www.bmt.org/,defence-security@bmtglobal.com,613-592-2830,"Defense, Security, & Aerospace","311 Legget Drive, Ottawa, ON, K2K 1Z8",,BMT is a maritime-orientated high-end design house and technical consulting firm driven by a passion for solving co...,Ottawa · Kanata North (ON)
BMT Consulting,https://bmtconsultants.com/,admin@bmtconsultants.com,613-518-2820,Management Consulting,"300 March Rd #406, Kanata, ON K2K 2E2",,"At BMT Consultants, we are committed to helping you navigate your financial journey by providing comprehensive supp...",Ottawa · Kanata North (ON)
Boston Scientific,https://www.bostonscientific.com/,info@bostonscientific.com,613-801-1880,Life Sciences,"11 Hines Rd #200, Kanata, ON K2K 2X1",,Boston Scientific is an innovator of medical solutions that improve the health of patients around the world. Boston...,Ottawa · Kanata North (ON)
Bourk's Complete Car Care,https://www.bourks.com/,KANATA@BOURKS.COM,613-599-5232,Other,"4009 Carling Ave, Kanata, ON K2K 2A3",,No detail is too small to discuss since preventative maintenance is key to avoiding larger more costly problems dow...,Ottawa · Kanata North (ON)
Bowie Financial,https://bowiefinancial.com/,info@bowiecanhelp.com,613-416-2020,Finance & Accounting,"300 Terry Fox Dr Suite 1000, Ottawa, ON K2K 0E3",,"Welcome to Bowie Financial! We believe that everyone deserves solid advice and friendly, on-going service for your ...",Ottawa · Kanata North (ON)
Braebon Medical Corporation,https://www2.braebon.com/,info@braebon.com,613-831-6690,Life Sciences,"100 Schneider Rd, Kanata, ON K2K 1Y2",,Braebon designs and manufactures sleep sensors and home sleep testing products. Explore company and product informa...,Ottawa · Kanata North (ON)
Brennan Wealth Management,https://advisor.assante.com/web/brennan-wealth-management/,pbrennan@alignedcp.com,613-592-9848,Finance & Accounting,"535 Legget Dr suite 102, Kanata, ON K2K 3B8, Canada",,"We focus on discussing your financial objectives and subsequently, providing recommendations to assist you in reali...",Ottawa · Kanata North (ON)
Bright Tomorrows Immigration Services,https://btimmigration.ca/,info@btimmigration.ca,613-699-2305,Legal,"1000 Innovation Dr unit 589, Kanata, Ottawa, ON K2K 3E7, Canada",,"At Bright Tomorrows, we believe in the power of dreams and the potential of individuals and businesses from around ...",Ottawa · Kanata North (ON)
Brookside Dental Centre,https://brooksidedentistry.ca/,info@brooksidedentistry.ca,613-592-1028,Hospital & Healthcare,"854 March Rd #4, Kanata, ON K2W 0C9",,Everyone at Brookside Dental Centre would like to extend a warm welcome to our office. Brookside Dental Centre is c...,Ottawa · Kanata North (ON)
Brookstreet Hotel,https://www.brookstreethotel.com/,info@brookstreet.com,888-826-2220,Retail & Hospitality,"525 Legget Dr, Kanata, ON K2K 2W2",,For those looking for a resort getaway in Ottawa or the business traveller seeking to optimize productivity while o...,Ottawa · Kanata North (ON)
Brophy Financial Planning & Insurance Agency Ltd.,https://brophyfinancial.com/,Laurie.Staniforth@investdfsi.ca,613-728-9573,Finance & Accounting,"300 Terry Fox Dr #200, Kanata, ON K2K 0E3",,"Brophy Financial Planning and Desjardins Financial Security Investments Inc. offer expertise, experience and result...",Ottawa · Kanata North (ON)
Browns Cleaners & Tailoring/Alterations,https://brownscleaners.ca/,,613-800-8443,Retail & Hospitality,"854 March Rd, Kanata, ON K2K 1X7",,"Dry cleaning, laundry and alterations.",Ottawa · Kanata North (ON)
BTA Design Services Inc.,https://www.btadesignservices.com/,info@btadesignservices.com,613-254-9024,Semiconductors,"84 Hines Rd Suite 310, Kanata, ON K2K 3G3",,We are design and verification experts who will help get your projects done right and quickly.,Ottawa · Kanata North (ON)
BTAI Technology Solutions,https://www.btai.ca/,info@btai.ca,613-254-9024,VARS & Parts Suppliers,"84 Hines Rd Suite 310, Kanata, ON K2K 3G3",,BTAI acts as a true extension of our principals’ sales teams and earns the trust and respect of our customers with ...,Ottawa · Kanata North (ON)
Burger King,https://www.burgerking.ca/,,613-599-7102,Dining,"700 March Rd, Kanata, ON K2K 2V6",,"The original Home of the Whopper, our commitment to premium ingredients, signature recipes, and family-friendly din...",Ottawa · Kanata North (ON)
Burrito Gringo Kanata,http://burritogringo.ca/,info@burritogringo.ca,613-254-7070,Dining,"5045 Innovation Dr Unit 300, Kanata, ON K2K 0L5",,"Burrito Gringo Mexican Grill is your go-to Mexican Grill in Ottawa, where you can dine a hearty meal with your frie...",Ottawa · Kanata North (ON)
Buttcon East Limited,https://www.buttcon.com/,,613-383-0505,"Construction, Renovation, & Other Home Services","4043 Carling Ave #200, Ottawa, ON K2K 2A4",,Buttcon Limited is a 100% employee owned Canadian General Contractor with over 40 years of experience and is recogn...,Ottawa · Kanata North (ON)
BWX Isotopes Technolgies Group Inc.,https://www.bwxt.com/bwxt-medical,isotopequestions@bwxt.com,800-267-6211,Environmental Technology & Services,"447 March Rd, Kanata, ON K2K 1X8",,BWX Technologies Inc. (BWXT) is a supplier of nuclear components and fuel to the U.S. government; provides technica...,Ottawa · Kanata North (ON)
BWXT Medical Ltd.,https://www.bwxtmedical.com/,isotopequestions@bwxt.com,(833) 657-4565,Pharmaceuticals,"447 March Road, Ottawa, ON K2K 1X8, Canada",,"BWXT Medical Ltd. manufactures custom radiopharmaceuticals, radiotherapies and medical isotopes in an 80,000-square...",Ottawa · Kanata North (ON)
C-Core,https://c-core.ca/,info@c-core.ca,709-864-8354,Clean Tech,"4043 Carling Ave, Kanata, ON K2K 2A4",,Since 1975 C-CORE has provided research-based advisory services and technology solutions to mitigate operational ri...,Ottawa · Kanata North (ON)
CAE Canada Defence and Security,https://www.cae.com/defense-security/regional-operations/cae-canada/,milsim@cae.com,613-247-0342,"Defense, Security, & Aerospace","350 Legget Dr, Kanata, ON K2K 2W7",,CAE is a world leader in providing simulation and modelling technologies and integrated training solutions for the ...,Ottawa · Kanata North (ON)
Cake My Day,https://www.cakemydaygfbakery.ca/,contact@cakemydaygfbakery.ca,343-822-2587,Dining,"101 Schneider Rd, Kanata, ON K2K 1Y3",,"We are an Ottawa-based mother-daughter team passionate about making clean, healthy foods without sacrificing taste....",Ottawa · Kanata North (ON)
Calabogie Brewing Co.,http://www.calabogiebrewing.com/,info@calabogiebrewing.com,613-608-2739,Dining,"105 Schneider Rd Unit 130, Kanata, ON K2K 1Y3",,"Epic Craft Beer. Visit our Kanata, Ontario Brewery with a taproom and full menu. Come for lunch, beers on the patio...",Ottawa · Kanata North (ON)
Calian,https://www.calian.com/,gnss.sales@Calian.com,613-591-3131,"Manufacturing, Engineering, Industrial & System Design, Telecommunications, Wireless & Photonics","36 Steacie Drive, Ottawa, Kanata, Ottawa, Ontario K2K 2A9, Canada",,"Calian® is a developer, manufacturer, and provider of GNSS, Iridium antennas and accessories in support of our cust...",Ottawa · Kanata North (ON)
Canadian Aeronautics and Space Institute (CASI),https://www.casi.ca/,casi@casi.ca,613-591-8787,Aviation & Aerospace,"350 Terry Fox Dr, Kanata, ON K2K 2W5",,The Canadian Aeronautics and Space Institute (CASI) is a non-profit professional scientific and technical organizat...,Ottawa · Kanata North (ON)
Canadian Association of Chiefs of Police,https://www.cacp.ca/index.html,cacp@cacp.ca,613-595-1101,Other,"300 Terry Fox Dr Suite 100, Kanata, ON K2K 0E3",,The Association is dedicated to the support and promotion of efficient law enforcement and to the protection and se...,Ottawa · Kanata North (ON)
Canadian Association of Home & Property Inspectors (CAHPI),https://www.cahpi.ca/en/,info@cahpi.ca,613-227-3919,"Construction, Renovation, & Other Home Services","832 March Road, Ottawa, ON, Canada",,"The Canadian Association of Home & Property Inspectors® (CAHPI®) is a national non-profit association, whose missio...",Ottawa · Kanata North (ON)
Canadian College of Physicists in Medicine (CCPM),https://ccpm.ca/,info@ccpm.ca,613-599-3491,Health & Wellness,"300 March Rd, Kanata, ON K2K 2E2",,The Canadian College of Physicists in Medicine (CCPM) was established in 1979 to recognize proven competence in phy...,Ottawa · Kanata North (ON)
Canna Cabana,https://cannacabana.com/,kanata@cannacabana.com,613-591-0985,Health & Wellness,"836 March Rd b1, Kanata, ON K2W 0C9",,"Welcome to the blue skies and sunny shores of Canna Cabana. When we say we're the real OGs, we mean it—for over 10 ...",Ottawa · Kanata North (ON)
Capital Aesthetics Clinic - Skin Care and Laser,https://www.capitalaesthetics.ca/,info@capitalaesthetics.ca,613-355-1455,Health & Wellness,"300 Terry Fox Dr #500A, Kanata, ON K2K 0E3",,We are a team of dynamic and highly trained medical estheticians and medical injectors who want to make you feel yo...,Ottawa · Kanata North (ON)
Carleton University at Kanata (CU@Kanata),https://carleton.ca/kanata/,cukanata@carleton.ca,613-851-6161,Education & Day Care,"350 Legget Dr Unit 101, Kanata, ON K2K 0G7",,"Carleton University, Canada’s capital university is situated on a beautiful campus bordered by the sparkling Rideau...",Ottawa · Kanata North (ON)
Case IQ,https://www.caseiq.com,hr@caseiq.com,800-465-6089,Management Consulting,"300 March Road, Suite 501, Ottawa, ON, K2K 2E2",,"Case Management SoftwarePreviously branded under i-Sight, Case IQ changed its name in April of 2023. Company has be...",Ottawa · Kanata North (ON)
Casey's Pet Grooming and Doggie Daycare,https://www.facebook.com/caseyspetgroomingg,Caseyspetgrooming@gmail.com,613-254-7387,Other,"591 March Rd #15, Kanata, ON K2K 2M5",,A great caring atmosphere for your furry loved ones.,Ottawa · Kanata North (ON)
Catalyst Kanata,https://catalystbusinesscenter.com/,info@catalystbusinesscenter.com,613-226-1884,Other,"62 Steacie Dr, Kanata, ON K2K 2A9",,Think of us as your private workspace with all the resources and tools you need to get the job done. From reserved ...,Ottawa · Kanata North (ON)
Celestra Health Systems,https://celestrahealth.com/,info@celestrahealth.com,613 271-6305,Hospital & Healthcare,,,"Celestra Health Systems is a recognized world-leader in the measurement of neurological gait, with a singular focus...",Ottawa · Kanata North (ON)
CENGN,https://www.cengn.ca/,contact@cengn.ca,613-963-1200,"Telecommunications, Wireless & Photonics","555 Legget Dr, Kanata, ON K2K 3B8",,CENGN’s mission is to accelerate the commercialization of network technologies and applications and to ensure Canad...,Ottawa · Kanata North (ON)
Cerio,https://www.cerio.io/,info@cerio.io,855-771-3818,"Telecommunications, Wireless & Photonics","515 Legget Dr #500, Kanata, Ottawa, ON K2K 3G4, Canada",,,Ottawa · Kanata North (ON)
Checkpoint Software Technologies,https://www.checkpoint.com/,,888-361-5030,Cyber Security,"80 Hines Rd, Kanata, ON K2K 2T8",,"Check Point Software Technologies and its subsidiaries develop, market, and support a range of software and hardwar...",Ottawa · Kanata North (ON)
Choices in Action Counselling Services (Monica Forst),https://choicesinaction.ca/,,613-823-3848,Health & Wellness,"300 March Rd #410, Kanata, ON K2K 2E2",,"“Through the use of action methods, we explore unhealthy patterns of living in order to enhance creativity and spon...",Ottawa · Kanata North (ON)
ChoiTechAndLaw Professional Corporation,https://choitechandlaw.com/,info@ChoiTechAndLaw.com,613-777-1088,Legal,"1000 Innovation Dr Suite 500, Ottawa, ON K2K 3E7",,"Our firm offers a distinctive blend of solid legal, business, technical, and multi-national corporate experience an...",Ottawa · Kanata North (ON)
Christiane J Lessard R M F T,https://www.yodah.ca/a-propos-de-moi-about-me,info@yodah.ca,613-839-0038,Health & Wellness,"555 Legget Dr, Kanata, ON K2K 2X3",,"As a solution-focused therapist, my goal is to help you uncover your true potential and lead a life that is worth c...",Ottawa · Kanata North (ON)
CIBC Wood Gundy Inc.,https://www.woodgundy.cibc.com/en/home.html,,613-271-1511,Finance & Accounting,"555 Legget Dr #1030, Kanata, ON K2K 2X3",,"At CIBC Wood Gundy, we believe there is no better investment than the time we spend getting to know our clients. Un...",Ottawa · Kanata North (ON)
Ciena Corporation Canada,https://www.ciena.com/,social@ciena.com,613-670-2000,"Telecommunications, Wireless & Photonics","5050 Innovation Drive, Ottawa, ON K2K 0J2",,"Ciena is a global leader in optical and routing systems, services, and automation software. We build the world's mo...",Ottawa · Kanata North (ON)
