name,careers_url,ats,website,email,sectors,status,note
Phreesia,https://www.phreesia.com/company/careers/,myworkdayjobs,https://www.phreesia.com/,hr@phreesia.com,Information Technology & Services,200,
Pivotree,https://www.pivotree.com/about-us/careers/,dayforcehcm,https://www.pivotree.com/,salesinfo@pivotree.com,Information Technology & Services,200,
Pleora Technologies Inc.,https://www.pleora.com/about-us/working-at-pleora/,bamboohr,https://www.pleora.com/,info@pleora.com,Information Technology & Services,200,
Quest Software Canada,https://www.quest.com/company/careers.aspx,icims,https://www.quest.com/,,Computer Software,200,
Ranovus,https://ranovus.com/careers/,bamboohr,https://ranovus.com/,info@ranovus.com,Information Technology & Services,200,
RBR,https://rbr-global.com/about-rbr/careers/,recruitee,https://rbr-global.com/,info@rbr-global.com,"Environmental Technology & Services, Marine Engineering",200,
Renesas Electronics Canada,https://jobs.renesas.com/,smartrecruiters,https://www.renesas.com/us/en,,Semiconductors,200,
Semtech Canada Corporation Ottawa Design Centre,https://www.semtech.com/careers,myworkdayjobs,https://www.semtech.com/,,Semiconductors,200,
Solace Systems,https://solace.com/careers/,bamboohr,https://solace.com/,info@solace.com,Information Technology & Services,200,
Solink Corporation,https://solink.com/careers,bamboohr,https://solink.com/,info@solink.com,Cyber Security,200,
Spectrum Control Ltd.,https://ssia.spectrumcontrol.com/about/careers,myworkdayjobs,https://ssia.spectrumcontrol.com/,,"Manufacturing, Engineering, Industrial & System Design",200,
Superna Inc.,https://superna.io/careers,teamtailor,https://superna.io/,support@superna.net,Software,200,
Syntronic Research and Development Canada,https://syntronic.com/career-emea/,teamtailor,http://www.syntronic.com/,info.americas@syntronic.com,"Manufacturing, Engineering, Industrial & System Design",200,
Teldio Corporation,https://www.teldio.com/careers/,bamboohr,https://www.teldio.com/,sales@teldio.com,Software,200,
Trellis Corporation,https://gotrellis.com/careers/,bullhorn,https://gotrellis.com/,info@gotrellis.com,Software,200,
Trend Micro Canada Technologies Inc.,https://www.trendmicro.com/en/about/careers.html,myworkdayjobs,https://www.trendmicro.com/,,Cyber Security,200,
TrueContext,https://truecontext.com/about/careers/,bamboohr,https://truecontext.com/,support@prontoforms.com,Information Technology & Services,200,
W3 Business Network Inc.,https://www.workday.com/,workday,https://www.businessnetwork.com/,sales@businessnetwork.com,"Artificial Intelligence, Data & Cloud Services",200,
Adaptive Marine Solutions Inc.,https://ams-ink.ca/company/careers/,,https://ams-ink.ca/,info@ams-ink.ca,Ocean Engineering,200,
Adecco Ottawa,https://cvmaker.adecco.com/en-ca/recommended-jobs,,https://www.adecco.ca/,can.marketing@adecco.ca,Information Technology & Services,200,
Ahearn and Soper | proVision WMS Eastern Ontario,https://www.ahearn.com/career-opportunities/,,https://www.ahearn.com/,salesdept@ahearn.com,Information Technology & Services,200,
Alphawave Semi,https://awavesemi.com/careers/,,https://awavesemi.com/,info@awavesemi.com,Semiconductors,200,
Amdocs,https://www.amdocs.com/careers,,https://www.amdocs.com/,,"Telecommunications, Wireless & Photonics",200,
Aprel,https://www.aprel.com/about/careers,,https://www.aprel.com/,info@aprel.com,"Manufacturing, Engineering, Industrial & System Design",200,
Arcane Four Software,https://arcanefour.com/careers,,https://arcanefour.com/,info@arcanefour.com,Software,200,
Artaflex Inc.,https://artaflex.com/careers/,,https://artaflex.com/,sales@artaflex.com,"Manufacturing, Engineering, Industrial & System Design",200,
AusculSciences,https://ausculsciences.com/careers,,https://ausculsciences.com/,info@ausculsciences.com,Life Sciences,200,
Avaya Canada,https://www.avaya.com/en/about-avaya/careers/,,https://www.avaya.com/en/,,"Data & Cloud Services, Telecommunications, Wireless & Photonics",200,
Barracuda,https://www.barracuda.com/company/careers,,https://www.barracuda.com/,info@barracuda.com,Cyber Security,200,
Benbria Corporation,https://benbria.com/careers/,,https://benbria.com/contact-us/,info@benbria.com,Information Technology & Services,200,
BTA Design Services Inc.,https://www.btadesignservices.com/careers/,,https://www.btadesignservices.com/,info@btadesignservices.com,Semiconductors,200,
BWX Isotopes Technolgies Group Inc.,https://www.bwxt.com/careers/,,https://www.bwxt.com/bwxt-medical,isotopequestions@bwxt.com,Environmental Technology & Services,200,
C-Core,https://c-core.ca/careers,,https://c-core.ca/,info@c-core.ca,Clean Tech,200,
CAE Canada Defence and Security,https://www.cae.com/civil-aviation/instructor-pilot-jobs-at-cae,,https://www.cae.com/defense-security/regional-operations/cae-canada/,milsim@cae.com,"Defense, Security, & Aerospace",200,
Calian,https://careers.calian.com/careers/,,https://www.calian.com/,gnss.sales@Calian.com,"Manufacturing, Engineering, Industrial & System Design, Telecommunications, Wireless & Photonics",200,
CENGN,https://www.cengn.ca/about/careers/,,https://www.cengn.ca/,contact@cengn.ca,"Telecommunications, Wireless & Photonics",200,
Checkpoint Software Technologies,https://www.checkpoint.com/careers/,,https://www.checkpoint.com/,,Cyber Security,200,
Circle K,https://www.esso.ca/en-ca/careers,,https://www.esso.ca/,,Retail & Hospitality,200,
Communications Components Antennas Inc. (CCI),https://www.cciproducts.com/index.php/career-oportunities,,https://www.cciproducts.com/,sales@cciproducts.com,"Telecommunications, Wireless & Photonics",200,
Compugen Inc.,https://www.compugen.com/en-ca/careers,,https://www3.compugen.com/,marketing@compugen.com,Information Technology & Services,200,
Cornerstone on Demand,https://www.cornerstoneondemand.com/careers/,,https://www.cornerstoneondemand.com/,,Computer Software,200,
Crank Software Inc.,https://www.cranksoftware.com/about-us/careers,,https://www.cranksoftware.com/,,,200,
Dafocom Solutions,https://dafocom.com/careers/,,https://dafocom.com/,sales@dafocom.com,Cyber Security,200,
DataKinetics Ltd.,https://www.dkl.com/company/careers/,,http://www.dkl.com/,info@dkl.com,Computer Software,200,
DEFSEC Technologies,https://defsectec.com/careers/,,https://defsectec.com/,products@defsectec.com,"Defense, Security, & Aerospace",200,
Dentiza,https://dentiza.com/careers/,,https://dentiza.com/,info@dentiza.com,Information Technology & Services,200,
DZSi Canada,https://zhone.com/company/about/careers/,,https://dzsi.com/,support@dzsi.com,Telecommunications,200,
Edge Signal,https://www.edgesignal.ai/careers,,https://www.edgesignal.io/,support@edgesignal.io,"Data & Cloud Services, Software",200,
Edgewater Wireless Systems,https://edgewaterwireless.com/careers/,,https://edgewaterwireless.com/,IR@edgewaterwireless.com,"Telecommunications, Wireless & Photonics",200,
Enablence Technologies Inc.,https://www.enablence.com/careers,,https://www.enablence.com/,Sales-ENA@enablence.com,"Telecommunications, Wireless & Photonics",200,
Epiphan Systems Inc.,https://www.epiphan.com/company/careers/,,http://www.epiphan.com/,info@epiphan.com,Data & Cloud Services,200,
Ericsson Canada Inc.,https://www.ericsson.ca/fr/careers,,https://www.ericsson.ca/fr,,"Telecommunications, Wireless & Photonics",200,
eSAFE,https://esasafe.com/careers/,,https://www.esafe.org/en/field-evaluation/,field.evaluation@esafe.org,Cyber Security,200,
GC Photonics Inc,https://gcphotonics.com/join-us,,https://gcphotonics.com/,info@gcphotonics.com,"Telecommunications, Wireless & Photonics",200,
GEMTEC Consulting Engineers and Scientists Limited,https://www.gemtec.ca/careers.html,,https://www.gemtec.ca/,ottawa@gemtec.ca,"Manufacturing, Engineering, Industrial & System Design",200,
Hiboo Networks,https://www.hiboonetworks.com/careers,,https://www.hiboonetworks.com/,info@hiboonetworks.com,Telecommunications,200,
Honeywell Aerospace (COM DEV Int. Ltd.),https://careers.honeywell.com,,https://www.honeywell.com/us/en,,"Manufacturing, Engineering, Industrial & System Design",200,
Infinera Canada Inc.,https://www.infinera.com/careers/,,https://www.infinera.com/,techsupport@infinera.com,Telecommunications,200,
Instantel Headquarters,https://www.instantel.com/dealer-opportunities,,https://www.instantel.com/,sales@instantel.com,"Manufacturing, Engineering, Industrial & System Design",200,
IPSG Technology,https://ipsgtechnology.com/careers.php,,https://ipsgtechnology.com/,experts@ipsgtechnology.com,Information Technology & Services,200,
J-Squared Technologies Inc.,https://jsquared.com/careers,,https://jsquared.com/,,Electrical & Electrical Manufacturing,200,
J.D. Barnes Limited,https://jdbarnes.ca/careers/,,http://www.jdbarnes.com/,info@jdbarnes.com,"Environmental Technology & Services, Geomatics",200,
Kanata Electronic Services,https://careers.mattr.com/,,https://www.kesl.com,kanata@kesl.com,"Computer Hardware, Retail & Hospitality",200,
KDM Analytics,https://kdmanalytics.com/about/careers/,,http://www.kdmanalytics.com/,,"Cyber Security, Defense, Security, & Aerospace",200,
Kongsberg Geospatial,https://www.kongsberggeospatial.com/company/careers,,https://www.kongsberggeospatial.com/,info@kongsberggeospatial.com,"Defense, Security, & Aerospace",200,
KX Systems,https://kx.com/life-at-kx/,,https://kx.com/,,"Data & Cloud Services, Information Technology & Services",200,
L-SPARK,https://www.l-spark.com/careers,,https://www.l-spark.com/,info@l-spark.com,Information Technology & Services,200,
Lytica,https://lytica.com/careers/,,https://lytica.com/,customersupport@lytica.com,Information Technology & Services,200,
Marvel & Snap,https://www.marvelandsnap.com/careers,,https://www.marvelandsnap.com/,info@marvelandsnap.com,Information Technology & Services,200,
Mate Gauge,https://www.mategauge.com/jobs,,https://www.mategauge.com/,info@mategauge.com,"Manufacturing, Engineering, Industrial & System Design",200,
Mosaid Technologies,https://mosaid.com/careers/,,https://mosaid.com/,communications@conversantip.com,"Computer Software, Semiconductors",200,
Mydoma Inc,https://mydomastudio.com/careers,,https://www.mydomastudio.com/,info@mydomastudio.com,Software,200,
Nanometrics Incorporated,https://nanometrics.ca/careers,,https://nanometrics.ca/home,,Environmental Technology & Services,200,
Net Experience,https://www.netexperience.com/careers/,,https://netexperience.com/,info@netexperience.com,Telecommunications,200,
Nokia,https://www.nokia.com/careers/,,https://www.nokia.com/,press.services@nokia.com,"Telecommunications, Wireless & Photonics",200,
Octagon Systems,https://octagonsystems.com/careers,,https://octagonsystems.com/,info@octagonsystems.com,"Manufacturing, Engineering, Industrial & System Design",200,
Payment Source Inc.,https://www.paymentsource.ca/careers,,https://www.paymentsource.ca/,support@nowprepay.ca,Finance & Accounting,200,
Persistant Systems Ltd.,https://validate.perfdrive.com/careers,,https://www.persistent.com/,info@persistent.com,Information Technology & Services,200,
Pinchin Ltd.,https://www.pinchin.com/careers,,https://www.pinchin.com/,info@pinchin.com,Clean Tech,200,
Qlik,https://www.qlik.com/us/company/careers,,https://www.qlik.com/us/,info@qlik.com,Computer Software,200,
Raytec Systems Inc.,https://www.raytecled.com/careers-at-raytec/,,https://www.raytecled.com/,ussales@raytecled.com,"Manufacturing, Engineering, Industrial & System Design",200,
reasonX Labs,https://www.reasonx.ai/company/careers,,https://www.reasonx.ai/,info@reasonx.ai,"Security, Software",200,
Relevantz Technology Services,https://relevantz.com/careers/,,https://www.relevantz.com/,Info@relevantz.com,,200,
Rogers,https://www.rogers.com/careers,,https://www.rogers.com/,,"Telecommunications, Wireless & Photonics",200,
Rohde & Schwarz Canada Inc.,https://www.rohde-schwarz.com/ca/career/career-overview/career-overview_257552.html,,https://www.rohde-schwarz.com/,Info@rsa.rohde-schwarz.com,"Telecommunications, Wireless & Photonics",200,
Rove Analytics,https://roveanalytics.ca/careers,,https://roveanalytics.ca/,info@roveanalytics.ca,"Data & Cloud Services, Software",200,
Ryzn Enterprise Systems Inc.,https://www.ryzn.com/careers,,https://www.ryzn.com/contact,info@ryzn.com,"Data & Cloud Services, Software",200,
Sciemetric Instruments,https://www.sciemetric.com/company/careers,,https://www.sciemetric.com/,inquiries@sciemetric.com,"Manufacturing, Engineering, Industrial & System Design",200,
Securitas Technology,https://www.securitastechnology.com/en-ca/careers,,https://www.securitastechnology.com/en-ca/,,"Defense, Security, & Aerospace",200,
Siemens Digital,https://www.siemens.com/careers,,https://eda.sw.siemens.com/en-US/,,"Manufacturing, Engineering, Industrial & System Design",200,
Signiant,https://www.signiant.com/company/careers/,,https://www.signiant.com/,marketing@signiant.com,Software,200,
SimWave Consulting,https://www.calian.com/careers,,https://www.simwave.ca/,info@simwave.ca,Software,200,
Skyworks Solutions Inc.,https://www.skyworksinc.com/careers,,https://www.skyworksinc.com/,,Semiconductors,200,
South March Medical Centre,https://www.southmarchmed.ca/careers,,https://www.southmarchmed.ca/,,"Health & Wellness, Hospital & Healthcare",200,
Square Peg Communications Inc.,https://squarepeg.ca/company/careers,,https://squarepeg.ca/,sales@squarepeg.ca,"Telecommunications, Wireless & Photonics",200,
Ssi Micro Ltd.,https://www.ssicanada.com/join,,https://www.ssicanada.com/,customercare@ssicanada.com,"Telecommunications, Wireless & Photonics",200,
Starvoy Technologies Inc.,https://www.starvoy.com/about-us/careers,,https://www.starvoy.com/,sales@starvoy.com,VARS & Parts Suppliers,200,
Stax Bill,https://staxbill.com/careers/,,https://staxbill.com/,sales@staxbill.com,Fintech,200,
Synopsys Canada,https://careers.synopsys.com/,,https://www.synopsys.com/,,Semiconductors,200,
Technology Integration Group (TIG),https://tig-canada.ca/Home/JoinOurTeam/EqualOpportunity.aspx,,https://tig-canada.ca/,contactus@tig.com,Information Technology & Services,200,
Texas Instruments Canada Ltd.,https://careers.ti.com/en/sites/CX,,https://www.ti.com/,,Semiconductors,200,
TSMC Design Technology Canada Inc.,https://www.tsmc.com/english/careers/index.htm,,https://www.tsmc.com/english,tsmchr@tsmc.com,Semiconductors,200,
TutorOcean,https://corp.tutorocean.com/careers,,https://www.tutorocean.com/,,"Education & Day Care, Software",200,
Voyar Technology,https://voyar.ca/careers/,,https://voyar.ca/,info@voyar.ca,Environmental Technology & Services,200,
WorkDynamics Technologies,https://www.workdynamics.com/careers/,,https://www.workdynamics.com/,info@workdynamics.com,Computer Software,200,
WTW Co,https://careers.wtwco.com,,https://www.wtwco.com/en-ca,inquiries@wtwco.com,Finance & Accounting,200,
Y Managers,https://orionworkers.com/careers,,https://ymanagers.com/,info@ymanagers.com,"Artificial Intelligence, Software",200,
Yunakson Technologies Inc.,https://yunakson.com/,,https://yunakson.com/,info@yunakson.com,,200,
2ii Inc.,,,https://2iiinc.com/,info@2iiinc.com,"Manufacturing, Engineering, Industrial & System Design",200,no careers page found
Access Direct Sales,,,https://admcanada.com/,mark@admcanada.com,"Manufacturing, Engineering, Industrial & System Design",ERR ConnectTimeout,
AI Talos Inc.,,,https://aitalos.com/,ai@aitalos.com,"Health & Wellness, Hospital & Healthcare",200,no careers page found
AI-Spectral Technology Corp.,,,https://www.deepmsi.com/,info@deepmsi.com,Artificial Intelligence,200,no careers page found
B4T Solutions Inc.,,,https://b4tsolutions.com/,info@b4tsolutions.com,Software,200,no careers page found
Ciena Corporation Canada,,,https://www.ciena.com/,social@ciena.com,"Telecommunications, Wireless & Photonics",403,no careers page found
Claigan Environmental,,,https://www.claigan.com/,info@claigan.com,"Manufacturing, Engineering, Industrial & System Design",200,no careers page found
Core Migration,,,http://www.coremigration.com/,info@CoreMigration.com,"Computer Software, Information Technology & Services",200,no careers page found
Corfix,,,https://www.corfix.com/,info@corfix.com,"Computer Software, Construction, Renovation, & Other Home Services",200,no careers page found
Cyphercor Inc.,,,https://www.cyphercor.com,sales@cyphercor.com,Software,200,no careers page found
Dell Technologies,,,https://www.dell.com/en-ca,,Computer Hardware,403,no careers page found
DiabAi,,,https://diabai.ca/,info@diabai.ca,Software,200,no careers page found
DRS Technologies Canada Ltd. (Leonardo DRS),,,https://www.leonardodrs.com/,rydaye@drs.ca,"Defense, Security, & Aerospace",403,no careers page found
Electronic Distributers International inc.  Dba EDI Inc.,,,https://ediinc.ca/,info@ediinc.ca,Environmental Technology & Services,200,no careers page found
Electronic Sales Professionals (ESP) Inc,,,http://www.espsales.com/contact.html,ESPOttawa@espsales.com,Electrical & Electrical Manufacturing,403,no careers page found
Electronics Test Care Centre,,,https://electronicstestcentre.ca/,info@etc-mpb.com,Electrical & Electrical Manufacturing,200,no careers page found
Electronics4All,,,https://electronics4all.ca/,sales@electronics4all.ca,"Manufacturing, Engineering, Industrial & System Design",200,no careers page found
Endosink Inc.,,,https://endosink.com/,eric@endosink.com,"Manufacturing, Engineering, Industrial & System Design",403,no careers page found
Enercom Canada Inc.,,,http://www.enercom.ca/,info@enercom.ca,Clean Tech,200,no careers page found
Entrust,,,https://www.entrust.com/,,Cyber Security,403,no careers page found
FoxWise Technologies Inc.,,,https://foxwise.ca/,solutions@foxwise.ca,Information Technology & Services,200,no careers page found
GRC Concierge,,,https://www.grcconcierge.com/,info@grcconcierge.com,Cyber Security,200,no careers page found
Huawei Technologies Canada co. Ltd.,,,https://www.huawei.com/ca/,,"Telecommunications, Wireless & Photonics",200,no careers page found
I4C Consulting,,,https://i4c.com/,ottawa@i4c.com,Information Technology & Services,200,no careers page found
Intengent Inc,,,http://www.intengent.com/,info@intengent.com,"Telecommunications, Wireless & Photonics",200,no careers page found
International Datacasting Corporation (IDC),,,https://www.datacast.com/,sales@datacast.com,"Telecommunications, Wireless & Photonics",200,no careers page found
JCSI Computer Solutions Inc.,,,https://www.jcsi.ca/,info@jcsi.ca,Information Technology & Services,200,no careers page found
Keysight Technologies Canada Inc.,,,https://www.keysight.com,canada_orders@keysight.com,"Manufacturing, Engineering, Industrial & System Design",403,no careers page found
Kratt Brothers Co.,,,http://www.krattbrothers.com/,studio@krattbrothers.com,Broadcast Media,403,no careers page found
KRP Properties,,,https://krpproperties.com/,info@krpproperties.com,Real Estate,403,no careers page found
Magor Corporation,,,http://www.magorcorp.com/,,Retail & Hospitality,404,no careers page found
March Nails,,,https://march-nails.business.site/,,Health & Wellness,404,no careers page found
Marvell,,,https://www.marvell.com/,,"Cyber Security, Semiconductors",403,no careers page found
Microchip Technology Inc.,,,https://www.microchip.com/,here2help@microchip.com,"Manufacturing, Engineering, Industrial & System Design",403,no careers page found
Mitel,,,https://www.mitel.com/en-ca,,"Telecommunications, Wireless & Photonics",403,no careers page found
NPS Labs,,,https://www.npslabs.ca/,,"Manufacturing, Engineering, Industrial & System Design",ERR ConnectError,
NRNS Incorporated,,,http://www.nrns.ca/,info@nrns.ca,Information Technology & Services,200,no careers page found
NuPure Corporation,,,https://www.nupure.com/,sales@nupure.com,"Manufacturing, Engineering, Industrial & System Design",200,no careers page found
NXP Ottawa Technology Center,,,https://www.nxp.com/,customer.survey@nxp.com,Semiconductors,404,no careers page found
OpenText Cybersecurity (Cyberres),,,https://www.microfocus.com/en-us/cyberres,,,444,no careers page found
PolyVersa,,,https://polyversa.ca/,info@polyversa.ca,"Clean Tech, Environmental Technology & Services",200,no careers page found
Purecolo Inc.,,,http://purecolo.ca/,info@purecolo.ca,"Telecommunications, Wireless & Photonics",200,no careers page found
QGLex Inc,,,http://www.qglexinc.com/index.php,info@qglexinc.com,"Telecommunications, Wireless & Photonics",500,no careers page found
Renaissance Network Reinvent,,,https://renrns.com/,sales@renrns.com,"Telecommunications, Wireless & Photonics",ERR ReadTimeout,
SeCan Association,,,https://secan.com/,seed@secan.com,"Manufacturing, Engineering, Industrial & System Design",200,no careers page found
Sevens Tree Global,,,https://sevenstreeglobal.com/,mail@sevenstree.com,Fintech,403,no careers page found
SimFront Simulation Systems Corporation,,,https://www.simfront.com/,General-Info@simfront.com,"Defense, Security, & Aerospace",ERR ConnectError,
South March Studio,,,http://southmarchstudio.com/,info@southmarchstudio.com,Art & Recreation,200,no careers page found
Space Credibility Canada Inc.,,,https://credibility.space/,contact@credibility.space,Aviation & Aerospace,200,no careers page found
Specialized Stainless Solutions,,,https://3-s.ca/,hello@3-s.ca,"Manufacturing, Engineering, Industrial & System Design",200,no careers page found
Syntax Strategic,,,https://www.syntaxstrategic.ca/,,Other,200,no careers page found
Talent Lab Inc.,,,https://talentlab.com/,inquire@talentlab.com,Semiconductors,403,no careers page found
Tessellis,,,https://tessellis.ca/,,"Hospital & Healthcare, Software",200,no careers page found
ThinkRF Corporation,,,https://thinkrf.com/,,Data & Cloud Services,403,no careers page found
Tipot Technologies,,,https://www.tipottechnologies.com/,info@tipottechnologies.com,"Telecommunications, Wireless & Photonics",ERR ConnectTimeout,
Total OutSource Canada Inc.,,,https://www.toicanada.ca/,,"Manufacturing, Engineering, Industrial & System Design",ERR ConnectError,
Tricim Corporation,,,http://www.tricim.com/,info@tricim.com,"Manufacturing, Engineering, Industrial & System Design",200,no careers page found
Truvo Cyber,,,https://truvo.ca/,info@truvo.ca,,200,no careers page found
TÜV SÜD Canada Inc.,,,https://www.tuvsud.com/en-us,,"Manufacturing, Engineering, Industrial & System Design",403,no careers page found
Vibrant9,,,https://vibrant9.com/,info@vibrant9.com,,400,no careers page found
Vivotek Canada,,,https://vivotek.ca/,info@vivotek.ca,Information Technology & Services,200,no careers page found
VixelStudio,,,https://vixelstudio.com/,contact@vixelstudio.com,Digital Marketing,200,no careers page found
Waira,,,https://waira.ca/,info@waira.ca,Health & Wellness,200,no careers page found
Wesley Clover Services North America,,,https://www.wcs-northamerica.com/,info@wcs-northamerica.com,Data & Cloud Services,200,no careers page found
